Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,1nf,C_0805_2012Metric,49.7078,-130.2004,270,top
C5,330pF,C_0805_2012Metric,53.8734,-128.1938,270,top
C6,2.2nF,C_0805_2012Metric,63.5762,-132.2832,90,top
C7,150pF,C_0805_2012Metric,63.5762,-128.7272,270,top
C8,1uf,C_0805_2012Metric,43.0045,-108.712,180,top
C9,1uf,C_0805_2012Metric,41.402,-119.38,180,top
C10,0.1uf,C_0805_2012Metric,58.2676,-125.2474,180,top
C11,10uf,C_0805_2012Metric,58.293,-123.19,0,top
C12,1uf,C_0805_2012Metric,61.8236,-125.2728,180,top
C13,1nf,C_0805_2012Metric,50.3428,-95.758,180,top
C14,1nf,C_0805_2012Metric,51.7144,-98.5243,270,top
C15,1nf,C_0805_2012Metric,64.3382,-99.2378,0,top
C16,1nf,C_0805_2012Metric,62.0014,-103.7082,180,top
C17,0.1uf,C_0805_2012Metric,50.8,-114.046,90,top
C18,10uf,C_0805_2012Metric,40.64,-114.046,270,top
C19,1uf,C_0805_2012Metric,48.514,-114.046,270,top
C20,0.1uf,C_0805_2012Metric,63.119,-92.1258,0,top
C21,10uf,C_0805_2012Metric,63.1167,-90.0176,180,top
C22,1uf,C_0805_2012Metric,56.3626,-105.9688,270,top
D2,BAS316,D_SOD-323,76.835,-110.49,180,top
D3,BAS316,D_SOD-323,70.6882,-120.8024,180,top
DEBUG,Yellow,LED_0805_2012Metric,40.005,-131.445,225,top
FFT,RED ,LED_0805_2012Metric,37.465,-128.905,225,top
J2,Conn_Coaxial,SMA_Amphenol_132289_EdgeMount,33.9598,-113.8682,180,top
Power,GREEN,LED_0805_2012Metric,34.925,-126.365,225,top
R1,680ohm 1%,C_0805_2012Metric,47.4472,-127.4318,0,top
R2,11k 1%,C_0805_2012Metric,47.4472,-125.2982,180,top
R3,11k 1%,C_0805_2012Metric,50.9778,-125.3236,0,top
R4,16k 1%,C_0805_2012Metric,51.7144,-130.2258,270,top
R5,13k 1%,C_0805_2012Metric,56.6674,-132.969,180,top
R6,13k 1%,C_0805_2012Metric,69.2658,-132.2832,270,top
R7,12k 1%,C_0805_2012Metric,66.421,-130.8608,0,top
R8,10k,C_0805_2012Metric,43.688,-105.7425,90,top
R9,10k,C_0805_2012Metric,42.164,-122.428,270,top
R10,220,C_0805_2012Metric,46.482,-102.87,180,top
R11,220,C_0805_2012Metric,44.45,-125.984,270,top
R12,16k 1%,C_0805_2012Metric,49.6062,-102.1334,90,top
R13,100k 1%,C_0805_2012Metric,53.8988,-102.1334,270,top
R14,6.2k 1%,C_0805_2012Metric,46.8099,-97.79,0,top
R15,12k 1%,C_0805_2012Metric,46.863,-94.5642,90,top
R16,1k 1%,C_0805_2012Metric,53.1368,-92.8878,90,top
R17,16k 1%,C_0805_2012Metric,55.0926,-92.8624,90,top
R18,27k 1%,C_0805_2012Metric,64.389,-94.3356,180,top
R19,3.9k 1%,C_0805_2012Metric,61.5696,-95.0214,270,top
R20,1k 1%,C_0805_2012Metric,62.0014,-101.4984,0,top
R21,1k 1%,C_0805_2012Metric,59.1312,-102.235,90,top
R22,47k,C_0805_2012Metric,59.1312,-105.8926,270,top
R23,680ohm 1%,C_0805_2012Metric,54.5592,-125.2982,0,top
R24,430ohm 1%,C_0805_2012Metric,50.9755,-127.4572,0,top
R25,2k 1%,C_0805_2012Metric,60.7314,-132.9944,180,top
R26,2k 1%,C_0805_2012Metric,66.4464,-128.7018,180,top
R27,820ohm 1%,C_0805_2012Metric,66.421,-132.9944,180,top
R28,16k 1%,C_0805_2012Metric,51.7144,-102.1103,270,top
R29,450ohm 1%,C_0805_2012Metric,49.6062,-98.5266,90,top
R30,2k 1%,C_0805_2012Metric,55.9308,-102.1357,90,top
R31,910ohm 1%,C_0805_2012Metric,46.8122,-99.822,180,top
R32,100ohm 1%,C_0805_2012Metric,50.3174,-93.7514,0,top
R33,1.3k 1%,C_0805_2012Metric,57.2008,-92.8393,270,top
R34,100ohm 1%,C_0805_2012Metric,59.3598,-92.8624,270,top
R35,1k 1%,C_0805_2012Metric,64.3613,-96.393,0,top
R36,220ohm 1%,C_0805_2012Metric,61.5442,-98.5012,270,top
R37,620ohm 1%,C_0805_2012Metric,62.0037,-105.8164,180,top
R38,2k 1%,C_0805_2012Metric,36.195,-122.555,90,top
R39,2k 1%,C_0805_2012Metric,38.735,-125.095,90,top
R40,2k 1%,C_0805_2012Metric,43.815,-130.175,90,top
R41,2k 1%,C_0805_2012Metric,41.275,-127.635,90,top
Reading,BLUE,LED_0805_2012Metric,42.545,-133.985,225,top
U2,LM1117-3.3,SOT-223-3_TabPin2,69.308,-114.958041,270,top
U5,OPA2156xD,SOIC-8_3.9x4.9mm_P1.27mm,58.7248,-129.1844,270,top
U6,OPA2156xD,SOIC-8_3.9x4.9mm_P1.27mm,44.45,-114.046,180,top
U7,OPA2156xD,SOIC-8_3.9x4.9mm_P1.27mm,56.642,-97.5106,270,top
